title,cgross,studio,theaters2,theaters1,opening_gross,release_data
My Blue Heaven,23591472,WB,1859,1868,6207092,8/17/90
My Blueberry Nights,867275,Wein.,6,69,74146,4/4/08
My Bodyguard,22482952,Fox,39,0,178641,7/11/80
My Bollywood Bride,0,Kos.,5,5,0,6/8/07
My Boss's Daughter,15550605,Dim.,2201,2206,4855798,8/22/03
My Boyfriend's Back,3335984,BV,1165,1165,1465476,8/6/93
My Brilliant Career,0,Anls,0,0,0,2/1/80
My Brother,65797,Code,28,28,28613,3/16/07
My Brother Is an Only Child,255620,Think,1,14,9357,3/28/08
My Brother The Devil,44906,P/108,2,4,10305,3/22/13
My Brother's Wedding (re-issue),8217,Mile.,1,1,4294,9/14/07
My Chauffeur,4781448,Crwn,1253,1253,3613652,1/24/86
"My Country, My Country",33620,Zeit.,1,4,3546,8/4/06
My Cousin Rachel,2716368,FoxS,523,531,969941,6/9/17
My Cousin Vinny,52929168,Fox,1227,1506,7416751,3/13/92
My Darling Clementine,0,Fox,0,0,0,12/3/46
My Date with Drew,181041,Slow,58,58,85223,8/5/05
My Demon Lover,3922273,NL,1115,1115,1815583,4/24/87
My Dinner with Andre (Re-issue),5073,Wins.,1,1,5073,5/14/99
My Dog Skip,34134641,WB,5,2331,56943,1/14/00
My Dog Tulip,246574,NYer,1,5,11550,9/1/10
My Dream Is Yours,0,WB,0,0,0,4/16/49
My Entire High School Sinking Into the Sea,68883,GK,3,25,13684,4/14/17
My Fair Lady,72000000,WB,0,0,0,10/21/64
My Family,11079373,NL,413,415,2164840,5/5/95
My Father Die,4252,FR,10,10,3229,1/20/17
My Father My Lord,203708,Kino,6,9,24096,5/16/08
My Father's Glory,1730856,OrionC,0,0,0,6/14/91
"My Father, the Hero",25479558,BV,1193,1373,5645251,2/4/94
My Favorite Martian,36850101,BV,2275,2349,8828586,2/12/99
My Favorite Wife,0,RKO,0,0,0,5/2/40
My Favorite Year,20123620,MGM,714,720,2400696,10/8/82
My Fellow Americans,22313201,WB,1915,1915,2860334,12/20/96
My First Mister,568762,ParC,33,103,102456,10/12/01
My First Wedding,14982,Indic.,5,5,10120,8/18/06
My Flesh and Blood,40573,Strand,7,7,18763,11/28/03
My Friend Dahmer,1361611,FR,4,110,35545,11/3/17
My Friend Pinto,0,UTV,7,7,0,10/14/11
My Friend Victoria,0,Zeit.,1,1,0,12/4/15
My Fuhrer,2465,FRun,1,1,1197,8/14/09
My Geisha,0,Par.,0,0,0,6/13/62
My Generation,0,0,0,0,0,0
My Giant,8072007,Sony,1948,1948,3117795,4/10/98
My Girl,59489799,Col.,2080,2089,12391783,11/27/91
My Girl 2,17359799,Col.,1841,1853,5012295,2/11/94
My Golden Days,269144,Magn.,3,32,26847,3/18/16
My Hero Academia: Two Heroes,5427591,FUN,508,535,1388499,9/25/18
My Heroes Have Always Been Cowboys,3603615,Gold.,850,850,1361700,3/1/91
My Journey Through French Cinema,52214,Cohen,3,4,10636,6/23/17
My Joy,6298,KL,1,1,2077,9/30/11
My Kid Could Paint That,231574,SPC,8,20,26290,10/5/07
My King (Mon roi),54114,FM,1,11,6273,8/12/16
My Kingdom,4296,First,1,1,2607,12/6/02
My Kingdom (2011),36533,CL,20,20,16816,9/9/11
My Left Foot,14743391,Mira.,2,510,41165,11/10/89
My Life,27804899,Col.,800,1290,5536098,11/12/93
My Life as a Dog,8345266,Skou,1,1,11667,5/1/87
My Life as a Zucchini,309766,GK,2,53,31853,2/24/17
My Life Directed,0,RTWC,0,0,0,2/27/15
My Life in Ruins,8665206,FoxS,1164,1165,3223161,6/5/09
My Life So Far,635620,Mira.,5,22,53937,7/23/99
My Life Without Me,400948,SPC,7,39,40515,9/26/03
My Life's in Turnaround,163383,Arro.,0,0,0,6/17/94
My Little Chickadee,0,Uni.,0,0,0,3/15/40
My Little Girl,25000,Hemd,0,0,0,10/30/87
My Little Pony,5958456,DEG,421,1003,416108,6/6/86
My Little Pony: The Movie,21885107,LGF,2528,2528,8885899,10/6/17
"My Love, Don't Cross that River",88018,FM,2,6,6340,6/17/16
My Lucky Star,64432,CL,23,23,47006,9/20/13
My Mexican Shivah,13042,Emr.,1,1,6100,8/29/08
My Mother Likes Women,82916,Nora.,1,6,9780,5/21/04
My Mother's Castle,1477071,OrionC,0,0,0,7/26/91
My Mother's Smile,41432,NYer,1,2,9167,2/11/05
My Name Is Bruce,173066,Imag.,1,4,16432,10/31/08
My Name Is Joe,354952,Art.,2,16,16017,1/22/99
My Name is Khan,4018771,FoxS,120,125,1944027,2/12/10
My Neighbor Totoro,0,Fathom,0,0,0,6/25/17
My New Gun,169600,IRS,0,0,0,10/30/92
My Old Lady,4013786,Cohen,11,273,124680,9/10/14
My One and Only,2479538,Free,4,256,58692,8/21/09
My Own Private Idaho,6401336,FL,3,98,68452,9/27/91
My Perestroika,242707,ICir,1,19,17680,3/23/11
My Piece of the Pie,6850,IFC,2,2,4213,12/9/11
My Reincarnation,92822,Long Shot,1,5,6498,10/28/11
My Science Project,4122748,BV,1003,1003,1504118,8/9/85
My Scientology Movie,22936,Magn.,2,6,11180,3/10/17
My Sister's Keeper,49200230,WB (NL),2606,2606,12442212,6/26/09
My Son,0,Cohen,0,0,0,3/1/19
"My Son, the Fanatic",417683,Mira.,5,20,38399,6/25/99
My Soul to Take,14744435,Uni.,2572,2572,6842220,10/8/10
My Stepmother is an Alien,13854000,Col.,1106,1148,2066980,12/9/88
My Summer of Love,1000915,Focus,17,63,90022,6/17/05
My Super Ex-Girlfriend,22530295,Fox,2702,2702,8603460,7/21/06
My Tutor,22587834,Crwn,96,500,435188,3/4/83
My Uncle Rafael,243616,RM,14,14,109747,9/21/12
My Voyage to Italy,11683,Mira.,1,1,7117,10/24/01
My Way (2012),70177,CJ,22,22,17817,4/20/12
My Week with Marilyn,14600347,Wein.,244,630,1750507,11/23/11
My Wife is an Actress,1121233,SPC,7,38,49204,7/12/02
My Wife Maurice,3803,TLA,1,1,2227,8/27/04
My Winnipeg,159363,IFC,2,10,14309,6/13/08
My Worst Nightmare,21952,Strand,1,4,1142,10/19/12
My Year Without Sex,3119,Strand,1,1,528,3/12/10
Mysteries of Egypt (IMAX),40593486,Imax,18,27,119280,8/21/98
Mysteries of Lisbon,110507,MBox,2,6,12308,8/5/11
The Mysteries of Pittsburgh,80238,PArch,20,20,37572,4/10/09
The Mysterious Lady,0,MGM,0,0,0,8/4/28
Mysterious Skin,713240,Tar.,1,23,17425,5/6/05
Mystery Date,6166819,Orion,1371,1371,1952569,8/16/91
Mystery Men,29762011,Uni.,2136,2142,10017865,8/6/99
The Mystery of Happiness,8528,Strand,2,2,382,9/12/14
Mystery Science Theater 3000,1007306,Gram.,26,26,206328,4/19/96
Mystery Team,89442,RAtt.,1,4,7840,8/28/09
Mystery Train,1541218,OrionC,0,0,0,1989
"Mystery, Alaska",8891623,BV,1673,1704,3102191,10/1/99
The Mystic Masseur,399110,Think,2,36,18550,5/3/02
Mystic Pizza,12793213,Gold.,401,440,1163939,10/21/88
Mystic River,90135191,WB,13,1581,640815,10/8/03
The Myth of Fingerprints,523025,SPC,3,50,30533,9/17/97
The Myth of the American Sleepover,41045,IFC,1,3,8700,7/22/11
'N Sync: Bigger Than Live (IMAX),1808679,Imax,10,20,44082,2/2/01
N'Secure,2595644,Free,486,486,1166406,10/15/10
Naam Hai Akira,219401,FIP,71,71,136644,9/2/16
Naam Shabana,0,Rel.,0,0,0,3/31/17
Nacho Libre,80197993,Par.,3070,3083,28309599,6/16/06
Nadine,5669831,TriS,760,760,2188857,8/7/87
Nadja,443169,Oct.,1,14,23846,8/25/95
Naked,1769305,NL,4,26,36463,12/17/93
Naked Boys Singing,25526,TLA,1,3,3690,10/12/07
Naked Cage,3136701,Can.,0,0,0,3/7/86
The Naked City,0,Uni.,0,0,0,3/4/48
Naked Fame,29220,Reg.,1,2,2837,2/18/05
The Naked Gun 2 1/2: The Smell of Fear,86930411,Par.,2378,2378,20817139,6/28/91
The Naked Gun 33 1/3: The Final Insult,51132598,Par.,2361,2383,13216531,3/18/94
The Naked Gun: From the Files of Police Squad!,78756177,Par.,1576,1969,9331746,12/2/88
Naked in Ashes,72073,Jour,1,6,9690,10/21/05
Naked in New York,1038959,FL,0,0,0,4/13/94
Naked Lunch,2641357,Fox,5,102,64491,12/27/91
The Naked Spur,0,MGM,0,0,0,2/1/53
Naked Tango,81777,NL,1,2,12283,8/23/91
Namastey London,1207007,Eros,65,65,578224,3/23/07
The Name of the Rose,7153487,Fox,42,176,494571,9/26/86
The Names of Love,514237,MBox,5,24,30372,6/24/11
The Namesake,13569248,FoxS,6,335,248552,3/9/07
Namiya,70814,CL,21,21,39584,1/5/18
Nana,2784,FunAcad,1,1,1240,4/13/18
Nancy (2018),80115,Gold.,3,11,15056,6/8/18
Nancy Drew,25612520,WB,2612,2612,6832318,6/15/07
Nancy Drew -- Detective,0,WB,0,0,0,11/19/38
Nancy Drew and the Hidden Staircase,0,WB,0,0,0,9/9/39
Nancy Drew... Reporter,0,WB,0,0,0,2/18/39
Nancy Drew... Trouble Shooter,0,WB,0,0,0,6/17/39
Nanking,161182,Think,1,10,6316,12/12/07
The Nanny Diaries,25930652,MGM/W,2629,2636,7480927,8/24/07
Nanny McPhee,47144110,Uni.,1995,2148,14503650,1/27/06
Nanny McPhee Returns,29011215,Uni.,2784,2798,8407685,8/20/10
Naples '44,24620,FRun,1,2,6636,11/29/17
Napoleon Dynamite,44540956,FoxS,6,1027,116666,6/11/04
Napping Princess,48198,GK,14,22,10865,9/8/17
Naqoyqatsi,133058,Mira.,2,9,17154,10/18/02
Narc,10465659,Par.,6,822,63303,12/20/02
Narcissister Organ Player,0,FM,0,0,0,11/7/18
Narco Cultura,145088,Cdgm.,1,46,6093,11/22/13
Narrow Margin,10873237,TriS,1132,1253,3628060,9/21/90
NAS: Time is Illmatic,164540,Trib.,2,43,23200,10/1/14
NASCAR 3D: The IMAX Experience (IMAX),21583831,WB,68,73,1452639,3/12/04
Nashville,9984123,Par.,0,0,0,6/11/75
Nasty Baby,79800,Orch.,2,18,8023,10/23/15
The Nasty Girl,2281569,Mira.,2,40,19491,10/26/90
Natasha,8325,Men.,1,1,8325,4/28/17
Nate and Hayes,1963756,Par.,925,925,815160,11/18/83
Nathalie,31008,Koch,2,2,10351,4/14/06
National Bird,10656,FR,1,8,3030,11/11/16
National Gallery,253941,Zipp.,1,15,10049,11/5/14
National Lampoon's Animal House,120091123,Uni.,12,0,276538,7/28/78
National Lampoon's Blackball,48000,First,8,8,48000,2/11/05
National Lampoon's Class Reunion,10054150,Fox,1121,1125,3086525,10/29/82
National Lampoon's Gold Diggers,527000,P&A,1062,1062,403164,9/17/04
National Lampoon's Movie Madness,63405,UA,0,0,0,4/23/82
National Lampoon's Senior Trip,4686937,NL,1397,1397,2184901,9/8/95
National Lampoon's Vacation,61399552,WB,1175,1253,8333358,7/29/83
National Lampoon's Van Wilder,21305259,Art.,2022,2104,7302913,4/5/02
National Lampoon's Van Wilder: The Rise of Taj,4300645,MGM,1979,1979,2313372,12/1/06
National Security,36381186,Sony,2729,2729,14369694,1/17/03
National Treasure,173008894,BV,3017,3243,35142554,11/19/04
National Treasure: Book of Secrets,219964115,BV,3832,3832,44783772,12/21/07
Native Son,1301121,Cinc,0,0,0,12/12/86
"Nativity 3: Dude, Where's My Donkey?!",0,0,0,0,0,TBD
The Nativity Story,37629831,NL,3083,3083,7849304,12/1/06
The Natural,47951979,TriS,989,1012,5088381,5/11/84
Natural Born Killers,50282766,WB,1510,1904,11166687,8/26/94
Natural Born Pranksters,0,LGF,0,0,0,4/1/16
Natural Selection,55282,CGld,1,3,10375,3/16/12
Nature Calls,646,Magn.,2,2,382,11/9/12
The Nature of Existence,54645,WS,1,4,2977,6/18/10
The Navigator (Re-issue),1333379,Circ,0,0,0,3/3/89
The Navigators,3052,First,1,1,1940,2/21/03
Navy Seals,25069101,Orion,1341,1355,6543832,7/20/90
Neal -N- Nikki,111551,Yash,44,44,75005,12/9/05
Near Dark,3369307,DEG,262,429,635789,10/2/87
Nearing Grace,0,Whtw.,63,63,0,10/13/06
'Neath the Arizona Skies,0,Monog.,0,0,0,12/5/34
Nebraska,17654912,Par.,4,968,140401,11/15/13
Necessary Roughness,26255594,Par.,1695,1695,6513130,9/27/91
Ned Kelly,86959,Focus,22,22,43704,3/26/04
Need for Speed,43577636,BV,3115,3115,17844939,3/14/14
Needful Things,15185672,Col.,1963,1986,5202478,8/27/93
Neerja,1585687,FIP,73,121,626528,2/19/16
The Negotiation,62268,CJ,2,13,14273,9/21/18
The Negotiator,44547681,WB,2436,2436,10218831,7/31/98
The Neighbor,0,VE,0,0,0,1/26/18
Neighboring Sounds,60255,CGld,2,3,12666,8/24/12
Neighbors,150157400,Uni.,3279,3311,49033915,5/9/14
Neighbors (1981),29916207,Col.,1387,1387,6481386,12/18/81
Neighbors 2: Sorority Rising,55455765,Uni.,3384,3416,21760405,5/20/16
Neil Young Journeys,215026,SPC,3,23,12025,6/29/12
Neil Young: Heart of Gold,1904606,ParC,4,65,53908,2/10/06
Neither Heaven Nor Earth,12810,FM,1,3,2836,8/5/16
Nell,33683817,Fox,2,1236,62663,12/16/94
Nelly,3751,CLS,1,2,1304,9/7/18
Nelly and Monsieur Arnaud,950237,A.Eye,0,0,0,6/21/96
Nemesis,2001124,Imp,86,86,197231,1/29/93
Nenette,18009,Kino,1,3,1176,12/22/10
The Neon Bible,78072,Strand,1,3,5045,3/1/96
Neon Bull,26734,KL,1,4,6413,4/8/16
The Neon Demon,1333124,BG,783,783,589014,6/24/16
Neon Flesh,0,Trib.,1,1,0,2/24/12
The Neptune Factor,0,Fox,0,0,0,8/3/73
Neptune's Daughter,0,MGM,0,0,0,6/9/49
Neruda,939101,Orch.,3,46,29402,12/16/16
Nerve,38583626,LGF,2538,2538,9445456,7/27/16
Neshoba: The Price of Freedom,19245,FRun,1,2,4645,8/13/10
Nest of Vipers,27182,Par.,0,0,0,9/7/79
The Net,50727965,Sony,1906,2027,10037745,7/28/95
Network,23689877,MGM,0,0,0,11/27/76
Neuba Yol: Abajo La Nueva Ley,1354652,Prkr,0,0,0,2/14/96
Never,20431,Indic.,2,4,4312,8/19/16
Never Again,307631,Focus,5,35,33088,7/12/02
Never Back Down,24850922,Sum.,2729,2729,8603195,3/14/08
Never Been Kissed,55474756,Fox,2455,2500,11836707,4/9/99
Never Been Thawed,47219,Indic.,1,1,7048,4/15/05
Never Cry Wolf,29600000,BV,88,540,1116437,10/7/83
Never Die Alone,5645298,FoxS,1160,1160,3089993,3/26/04
Never Forever,14485,ArtsA,2,2,6529,4/11/08
Never Give a Sucker an Even Break,0,Uni.,0,0,0,10/10/41
Never Goin' Back,61271,A24,2,27,10322,8/3/18
Never Here,0,VE,0,0,0,10/20/17
Never Let Me Go,2434652,FoxS,4,232,111734,9/15/10
Never Say Never Again,55432841,WB,1550,1560,10958157,10/7/83
Never Stand Still: Dancing at Jacob's Pillow,14272,FRun,1,2,1951,5/18/12
Never Talk to Strangers,6858261,Sony,1510,1510,2903457,10/20/95
The Neverending Story,20158808,WB,950,950,4325823,7/20/84
The Neverending Story II,17373527,WB,1188,1208,4912124,2/8/91
The Neverending Story III,0,Mira.,0,0,0,2/2/96
New Adventures of Pippi Longstocking,3569939,Col.,844,844,933462,7/29/88
The New Age,245217,WB,0,12,0,9/16/94
New Best Friend,46375,Sony,100,100,28658,4/12/02
A New Day in Old Sana'a,737,Arab,1,1,401,11/10/06
The New Girlfriend,146754,Cohen,13,45,39035,9/18/15
The New Guy,29760152,SonR,2687,2687,9007833,5/10/02
New in Town,16734283,LGF,1941,1941,6741530,1/30/09
New Jack City,47624353,WB,862,905,7039622,3/8/91
New Jersey Drive,3565508,Gram.,210,210,1395028,4/21/95
The New Kids,199108,Col.,102,102,199108,1/18/85
New Life,0,Argentum,0,0,0,10/28/16
A New Life,7721852,Par.,796,796,2505092,3/25/88
New Mutants,0,Fox,0,0,0,8/2/19
The New Radical,0,INDEP,0,0,0,12/1/17
The New Rijksmuseum,40578,FRun,3,5,2631,6/19/15
New Rose Hotel,21521,Lions,1,2,5147,10/1/99
New Suit,71743,Tril.,7,7,13239,5/2/03
The New Twenty,17625,Argo.,1,1,6272,3/20/09
New Waterford Girl,774469,Ode.,4,20,40251,6/2/00
The New World,12712093,NL,3,811,30864,12/25/05
New World (2013),457806,WGUSA,24,24,129954,3/22/13
New World Order,20205,Indic.,2,3,2790,9/23/16
New Year's Day,36106,RBR,0,0,0,12/13/89
New Year's Eve,54544638,WB (NL),3505,3505,13019180,12/9/11
The New Year's Eve of Old Lee,25358,CL,6,6,15519,2/12/16
New York,997437,Yash,60,60,467694,6/26/09
New York Doll,219672,FInd.,5,11,17583,10/28/05
New York in the 50's,11882,Avat.,1,1,4552,2/9/01
New York Minute,14071441,WB,3006,3006,5962106,5/7/04
New York Stories,10763469,BV,12,514,432337,3/3/89
"New York, I Love You",1588015,Viv.,118,118,380605,10/16/09
"New York, New York",16400000,UA,0,0,0,6/22/77
"New York, New York (2016)",92377,CL,16,16,42239,4/15/16
Newlyweds,4584,Trib.,1,1,4584,1/13/12
News From Planet Mars,310,KL,1,1,24,7/22/16
Newsies,2819485,BV,1223,1259,1232508,4/10/92
Newsies: The Broadway Musical,2545060,Fathom,780,780,1333538,2/18/17
newt,0,0,0,0,0,TBD
The Newton Boys,10452012,Fox,1965,1969,4010245,3/27/98
Newtown,14109,Abr.,2,3,6796,10/7/16
Next,18211013,Par.,2725,2733,7133049,4/27/07
The Next Best Thing,14990582,Par.,2007,2035,5870387,3/3/00
The Next Big Thing,14600,Castle,0,0,0,5/29/02
Next Day Air,10027047,Sum.,1138,1139,4111043,5/8/09
Next Friday,57328603,NL,1103,1420,14465156,1/12/00
Next Goal Wins,43089,KE,5,10,2568,4/25/14
The Next Karate Kid,8914777,Col.,1489,1489,2620484,8/12/94
The Next Man,0,AAP,0,0,0,11/10/76
Next of Kin,15942628,WB,1358,1358,4805516,10/20/89
"Next Stop, Wonderland",3395581,Mira.,8,224,123055,8/21/98
The Next Three Days,21148651,LGF,2564,2564,6542779,11/19/10
Next Time I'll Aim for the Heart,815,Distrib.,1,1,310,4/1/16
Next Time We Love,0,Uni.,0,0,0,1/30/36
Next Year Jerusalem,8093,FRun,1,2,2590,5/16/14
Nez Rouge,2004814,Chri.,32,90,217000,11/28/03
NFB of Canada Animation Festival,249167,EXPe,11,11,49551,12/26/91
NH10,303587,Eros,40,40,149546,3/13/15
"Niagara, Niagara",214661,Art.,3,33,16745,3/20/98
Nice Girls Don't Explode,65000,NW,0,0,0,4/3/87
The Nice Guys,36261763,WB,2865,2865,11203270,5/20/16
Nicholas Nickleby,1587173,MGM,5,100,42864,12/27/02
Nick and Norah's Infinite Playlist,31487293,Sony,2421,2421,11311751,10/3/08
Nick of Time,8175346,Par.,1849,1849,2781601,11/22/95
Nick Saban: Gamechanger,188786,FLF,26,26,188786,8/27/10
Nico and Dani,370562,Avat.,3,8,16942,2/2/01
"Nico, 1988",72799,Magn.,2,12,12309,8/1/18
Nico-Icon,306691,Roxie,0,4,0,9/8/95
Nicole,0,BV,0,0,0,TBD
Nicotina,1117864,Aren,96,96,446768,8/20/04
Night Across the Street,16778,CGld,1,2,3248,2/8/13
Night and Day,0,WB,0,0,0,7/2/46
Night and Day (1992),6397,ICir,1,1,4754,12/11/92
Night and the City,6202756,Fox,1,1100,43036,10/16/92
Night at the Golden Eagle,17643,Key.,3,3,7380,4/26/02
Night at the Museum,250863268,Fox,3685,3768,30433781,12/22/06
Night at the Museum: Battle of the Smithsonian,177243721,Fox,4096,4101,54173286,5/22/09
Night at the Museum: Secret of the Tomb,113746621,Fox,3785,3914,17100520,12/19/14
A Night at the Roxbury,30331165,Par.,1865,2169,9604791,10/2/98
The Night Before,43047372,Sony,2960,2960,9880536,11/20/15
Night Catches Us,76185,Magn.,4,9,13562,12/3/10
Night Crossing,8000000,BV,640,640,1547912,2/5/82
Night Falls on Manhattan,9889670,Par.,758,758,2933255,5/16/97
The Night Flier,125397,NL,95,95,91549,2/6/98
Night Game,337812,TWE,0,0,0,9/15/89
A Night in Heaven,5563663,Fox,901,901,1835421,11/18/83
Night in the Life of Jimmy Reardon,6264058,Fox,881,882,2737106,2/26/88
"Night Is Short, Walk On Girl",406490,GK,10,415,18302,8/21/18
The Night Listener,7836393,Mira.,1367,1370,3554134,8/4/06
Night Moves,271755,Cdgm.,2,56,21488,5/30/14
Night Nurse,0,WB,0,0,0,7/16/31
Night of Henna,16027,Illm.,2,8,2184,3/4/05
Night of the Comet,14418922,Atl,1098,1098,3580578,11/16/84
Night of the Creeps,591366,TriS,70,70,220800,8/22/86
Night of the Demons (1988),3109904,Prgn,0,0,0,10/14/88
Night of the Demons (2009),0,7Arts,0,0,0,TBD
Night of the Ghouls,0,0,0,0,0,1959
The Night of the Hunter,0,UA,0,0,0,9/29/55
The Night of the Iguana,0,MGM,0,0,0,8/6/64
Night of the Living Dead,5835247,Col.,1544,1544,2884679,10/19/90
Night of the Living Dead (2017 4k Restoration),89029,Jan.,1,8,5452,10/13/17
Night of the Living Dead 3D,271000,MME,145,145,215300,11/10/06
The Night of the Shooting Stars,2251121,MGM,0,0,0,1/21/83
The Night of the Shooting Stars (Re-issue),6186,Cohen,1,1,4414,8/12/15
Night on Earth,2015810,FL,2,40,34039,5/1/92
Night School,1169875,Par.,0,0,0,9/11/81
Night School (2017),4663,Osci.,1,2,1588,6/9/17
Night School (2018),34476355,Uni.,3010,3019,27257615,9/28/18
Night Shift,21095638,WB,683,683,2539633,7/30/82
The Night Stalker,0,ALM,0,0,0,10/17/86
The Night the Lights Went Out in Georgia,14923752,AVCO,0,0,0,8/7/81
Night Visitor,166635,MGM,0,0,0,5/12/89
Night Watch (Nochnoi Dozor),1502188,FoxS,3,158,86985,2/17/06
The Night We Never Met,1884814,Mira.,504,504,911736,4/30/93
"'Night, Mother",441863,Uni.,3,35,49164,9/12/86
Nightbreed,8862354,Fox,1488,1488,3708918,2/16/90
The Nightcomers,0,AVCO,0,0,0,2/15/72
Nightcrawler,32381217,ORF,2766,2766,10441000,10/31/14
Nightflyers,1149470,NCeV,0,0,0,10/23/87
Nighthawks,14905359,Uni.,659,0,2525360,4/10/81
The Nightingale,0,Sony,0,0,0,TBD
NightLights,21147,Indic.,3,6,6414,8/29/14
The Nightmare,28281,Grav.,16,16,13363,6/5/15
A Nightmare on Elm Street,25504513,NL,165,380,1271000,11/9/84
A Nightmare on Elm Street (2010),63075011,WB (NL),3332,3332,32902299,4/30/10
A Nightmare on Elm Street 2: Freddy's Revenge,29999213,NL,522,614,2865475,11/1/85
A Nightmare on Elm Street 3: Dream Warriors,44793222,NL,1343,1383,8880555,2/27/87
A Nightmare on Elm Street 4: The Dream Master,49369899,NL,1765,1767,12833403,8/19/88
A Nightmare on Elm Street 5: The Dream Child,22168359,NL,1902,1902,8115176,8/11/89
Nightmares,6670680,Uni.,1025,1025,2572750,9/2/83
Nights and Weekends,5430,IFC,1,1,2902,10/10/08
Nights in Rodanthe,41850659,WB,2704,2704,13418454,9/26/08
Nights of Cabiria,0,Lope.,0,0,0,10/28/57
Nights of Cabiria (re-issue),752045,Rialto,2,9,38988,7/1/98
Nightwatch,1179002,Mira.,300,300,585733,4/17/98
Nijinsky,1047454,Par.,0,0,0,3/21/80
Nijinsky: The Diaries of...,55968,Wells,1,3,3393,5/29/02
Nil by Mouth,266130,SPC,2,18,28367,2/6/98
The Nile Hilton Incident,81089,Strand,2,9,8183,8/11/17
Nim's Island,48006762,Fox,3513,3518,13210579,4/4/08
Nimona,0,Fox,0,0,0,2/14/20
Nina's Heavenly Delights,9936,Reg.,1,2,267,11/21/07
Nina's Tragedies,238831,Wells,4,15,24456,3/25/05
Nine,19676965,Wein.,4,1412,257232,12/18/09
Nine Dead Gay Guys,26377,TLA,1,2,3462,10/17/03
Nine Lives,478830,Magn.,7,33,28387,10/14/05
Nine Lives (2016),19700032,EC,2264,2264,6249915,8/5/16
Nine Months,69684532,Fox,1458,1795,12522240,7/14/95
Nine Nation Animation,38382,Shorts,1,2,2834,9/29/10
Nine Queens,1222889,SPC,5,36,40724,4/19/02
The Nines,63165,NM,2,5,23617,8/31/07
Ninja 3: The Domination,7610785,Can.,530,530,1727546,9/14/84
Ninja Assassin,38122883,WB,2503,2503,13316158,11/25/09
Ninotchka,0,MGM,0,0,0,11/3/39
The Ninth Day,72888,Kino,2,4,8786,5/27/05
The Ninth Gate,18661336,Art.,1586,1694,6622518,3/10/00
Nishabd,73819,Eros,25,25,40684,3/2/07
Nitro,3768878,All.,0,74,0,6/29/07
Nitro Circus the Movie 3D,3377618,ArcEnt,800,800,1183701,8/8/12
Nixon,13681765,BV,514,977,2206506,12/22/95
No,4868,NYer,2,2,4868,4/23/99
No (2013),2343664,SPC,4,99,71742,2/15/13
No Country for Old Men,74283625,Mira.,28,2037,1226333,11/9/07
No culpes al karma,5614,Sony,10,10,3660,3/24/17
"No Date, No Signature",28127,Distrib.,3,3,4993,8/1/18
No End in Sight,1433319,Magn.,2,117,31533,7/27/07
No Entry,678000,Eros,48,49,312000,8/26/05
"No Eres Tu, Soy Yo",1339911,LGF,226,226,588938,4/8/11
No Escape,27288872,Wein.,3355,3415,8111264,8/26/15
No Escape,15339030,Sav.,1763,1765,4588736,4/29/94
"No God, No Master",6796,Mont.,0,5,0,3/28/14
No Good Deed,181600,MAC,402,402,127000,9/12/03
No Good Deed (2014),52543632,SGem,2175,2175,24250283,9/12/14
No Greater Love,30247,ADC,22,22,21520,11/10/17
No Holds Barred,16093651,NL,1318,1327,4957052,6/2/89
No Home Movie,32757,Icar.,0,5,0,2/18/16
No Impact Man,100028,Osci.,2,8,15215,9/11/09
No Looking Back,222099,Gram.,7,23,44003,3/27/98
No Man of Her Own,0,Par.,0,0,0,12/30/32
No Man's Land,1012153,MGM,2,38,22645,12/7/01
No Man's Land (1987),2877571,Orion,510,510,1088273,10/23/87
No Manches Frida,11528613,PNT,362,465,3676235,9/2/16
No Mercy,12303904,TriS,1206,1206,2198069,12/19/86
No No: A Dockumentary,0,Orch.,0,0,0,9/5/14
No One Killed Jessica,440525,UTV,48,48,227473,1/7/11
No One Knows About Persian Cats,81768,IFC,2,12,8843,4/16/10
No One Lives,74918,Anch.,53,53,47800,5/10/13
No One's Life Is Easy: So I Married an Anti-Fan,89282,CL,22,22,58767,7/1/16
"No Pay, Nudity",20017,Mont.,3,8,3221,11/11/16
No Place on Earth,200238,Magn.,2,27,13813,4/5/13
No Place to Hide,135004,Can.,215,215,91000,4/16/93
No Place to Hide (1970),0,0,0,0,0,1970
No Postage Necessary,0,Two Roads,0,0,0,7/6/18
No Problem,285468,Eros,84,84,242116,12/10/10
No Regret,15347,Reg.,2,3,4181,7/25/08
No Reservations,43107979,WB,2425,2425,11704357,7/27/07
No Restraint,16136,IFC,1,6,1241,12/20/06
"No Retreat, No Surrender",4662137,NW,241,371,739723,5/2/86
No Small Affair,4994094,Col.,1247,1247,2273469,11/9/84
No Strings Attached,70662220,Par.,3018,3050,19652921,1/21/11
No Such Thing,62703,MGM,9,9,25324,3/29/02
No Tears for the Dead,63063,CJ,1,13,8329,6/13/14
No Turning Back,8042,Inn.,4,4,5521,6/13/03
No Way Out,35509515,Orion,806,1130,4259460,8/14/87
Noah,101200044,Par.,3567,3571,43720472,3/28/14
Noah's Arc: Jumping the Broom,532878,Logo,5,9,151337,10/24/08
Nobel Son,540382,Free,893,893,333912,12/5/08
Noble,347321,Asp.,175,175,231319,5/8/15
Nobody,488,Pha.,1,1,488,6/4/99
Nobody (2009),14271,0,1,1,1336,10/1/09
Nobody Else But You,43040,FRun,2,4,3759,5/11/12
