title,cgross,studio,theaters2,theaters1,opening_gross,release_data
Afternoon of a Faun,172450,KL,2,11,15292,2/5/14
Afterschool,3911,IFC,1,1,2606,10/2/09
Aftershock,58510,RTWC,110,110,40179,5/10/13
Aftershock (Tangshan Dadizhen),62962,CL,25,25,19329,10/29/10
Against All Flags,0,Uni.,0,0,0,12/24/52
Against All Odds,21689062,Col.,976,979,3766128,3/2/84
Against the Ropes,5884190,Par.,1601,1601,3038546,2/20/04
Against the Sun,4646,TAFC,11,11,3023,1/23/15
Agatha,7500000,WB,0,0,0,2/9/79
The Age of Adaline,42629776,LGF,2991,3070,13203458,4/24/15
The Age of Innocence,32255440,Col.,83,839,2317289,9/17/93
The Age of Shadows,541719,CJ,33,33,165685,9/23/16
Age of Uprising: The Legend of Michael Kohlhaas (U.S. only),3313,MBox,0,4,0,5/30/14
Agent Cody Banks,47938330,MGM,3369,3369,14064317,3/14/03
Agent Cody Banks 2: Destination London,23630159,MGM,2973,2973,8014005,3/12/04
Agent Mr. Chan,208351,CL,10,10,62234,2/23/18
Agent Vinod,698210,Eros,122,122,427043,3/23/12
The Aggressives,6533,7Art,1,1,3769,10/7/05
Agneepath,1986748,Eros,132,132,1140464,1/26/12
Agnes and His Brothers,2731,FRun,1,1,1544,6/9/06
Agnes Browne,148853,USA,2,21,6322,12/3/99
Agnes of God,25627836,Col.,8,646,221552,9/13/85
Agnivarsha - The Fire and the Rain,51549,Cineb.,8,8,18887,8/30/02
The Agony and the Ecstasy,0,Fox,0,0,0,10/7/65
Agora,619423,NM,2,17,33262,5/28/10
The Agronomist,226189,Think,7,21,30855,4/23/04
Ahead of Time,33024,Vita.,1,3,12790,9/10/10
Ai Weiwei: Never Sorry,534100,IFC,5,37,41104,7/27/12
Ai Weiwei: The Fake Case,45255,ICir,1,8,5066,5/16/14
Aida at La Scala,222927,Emr.,52,52,97874,12/9/07
Aida's Secrets,98468,MBox,1,9,5665,10/20/17
Aileen: The Life and Death of a Serial Killer,97362,Lant,3,6,16158,1/9/04
Aimee & Jaguar,927107,Zeit.,7,16,42919,8/11/00
Ain't In It For My Health: A Film About Levon Helm,113966,KL,1,10,7937,4/19/13
Ain't Them Bodies Saints,396519,IFC,3,44,26419,8/16/13
Air America,31053601,TriS,1902,1902,8064480,8/10/90
Air Bud,23144499,BV,1795,1795,4878632,8/1/97
Air Bud: Golden Receiver,10224116,Mira.,1669,1669,2603726,8/14/98
Air Force,0,WB,0,0,0,2/3/43
Air Force One,172956409,Sony,2919,2981,37132505,7/25/97
Air Guitar Nation,71471,Shad.,1,10,7035,3/23/07
The Air I Breathe,25775,Think,7,7,19487,1/25/08
Air Racers 3D,1309987,3D,0,10,0,4/6/12
The Air Up There,21011318,Mira.,1507,1721,5240859,1/7/94
Airborne,2850263,WB,982,982,1262239,9/17/93
Airheads,5751882,Fox,1228,1229,1911739,8/5/94
Airplane II: The Sequel,27150534,Par.,1150,1300,5329208,12/10/82
Airplane!,83453539,Par.,0,0,0,6/27/80
Airport,100489151,Uni.,0,0,0,3/5/70
Airport '77,0,Uni.,0,0,0,3/11/77
Airport 1975,0,Uni.,0,0,0,10/18/74
Aitraaz,91998,Zee,0,24,0,11/12/04
Aiyaary,0,RE,0,0,0,2/16/18
Ajami,622403,Kino,3,23,35792,2/3/10
AKA,49988,Emp.,3,3,7553,12/12/03
Akeelah and the Bee,18848430,LGF,2195,2195,6011585,4/28/06
Akira,439162,Stl.,2,2,11263,12/25/89
Akira (Re-issue),114009,Pio.,1,1,22428,3/30/01
Akira Kurosawa's Dreams,1963207,WB,0,0,0,8/24/90
Al Franken: God Spoke,102990,Bal.,2,10,10533,9/13/06
Alabama Moon,47305,0,7,7,6568,3/18/11
Aladdin,217350219,BV,2,2331,196664,11/13/92
Aladdin (2019),0,BV,0,0,0,5/24/19
Alamar,61613,FM,1,3,7668,7/14/10
The Alamo (1960),0,UA,0,0,0,10/24/60
The Alamo (2004),22414961,BV,2609,2609,9124701,4/9/04
Alan Partridge: The Movie,153426,Magn.,3,22,12664,4/4/14
An Alan Smithee Film: Burn Hollywood Burn,45779,BV,19,19,28992,2/27/98
The Alarmist,59864,Lions,1,11,7787,10/16/98
Alaska,11829959,Sony,1566,1566,2914992,8/14/96
Albatross,0,IFC,1,1,0,1/13/12
Albert Nobbs,3014696,RAtt.,245,245,696088,1/27/12
Albino Alligator,339379,Mira.,12,12,101176,1/17/97
Alex and Emma,14218698,WB,2310,2310,6111074,6/20/03
Alex Cross,25888412,LG/S,2539,2541,11396768,10/19/12
Alex of Venice,0,Scre.,0,0,0,4/17/15
Alex Rider: Operation Stormbreaker,677646,Wein.,120,221,0,10/6/06
Alexander,34297191,WB,2445,2445,13687087,11/24/04
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",66954149,BV,3088,3117,18360230,10/10/14
Alexander the Great,0,UA,0,0,0,3/28/56
Alexandra,128222,CGld,1,4,9401,3/26/08
Alexandra's Project,752148,All.,10,29,37078,12/19/03
Alfie,13399812,Par.,2215,2215,6218335,11/5/04
"Alfredo, Alfredo",0,Par.,0,0,0,Dec-73
The Algerian,0,Hann.,0,0,0,6/26/15
Algorithms,2021,FRun,1,1,317,10/17/14
Ali,58203105,Sony,2446,2521,14710892,12/25/01
Alias Betty,208400,Wells,4,8,23929,9/13/02
The Alibi,0,IDP,0,0,0,0
Alice,7331647,Orion,3,325,36274,12/25/90
Alice Adams,0,RKO,0,0,0,8/23/35
Alice Doesn't Live Here Anymore,18600000,WB,0,0,0,12/9/74
Alice et Martin,500896,USA,8,20,51294,7/21/00
Alice in Wonderland (1951),0,RKO,0,0,0,7/28/51
Alice in Wonderland (2010),334191110,BV,3728,3739,116101023,3/5/10
Alice Neel,48969,SeeT,1,1,6207,4/20/07
Alice Through the Looking Glass,77041381,BV,3763,3763,26858726,5/27/16
Alice's House (A Casa de Alice),61822,Vita.,6,6,19083,1/25/08
Alien,78944891,Fox,91,757,3527881,5/25/79
Alien 3,55473545,Fox,2227,2227,19449867,5/22/92
Alien Abduction,12897,IFC,13,13,10514,4/4/14
Alien Adventure (IMAX),8959784,NWav,4,10,38410,8/20/99
Alien Arrival,0,VE,0,0,0,6/23/17
Alien Love Triangle,0,0,0,0,0,TBD
Alien Nation,25216243,Fox,1430,1436,8421429,10/7/88
Alien Resurrection,47795658,Fox,2415,2449,16474092,11/26/97
Alien Trespass,104526,RAtt.,40,40,43437,4/3/09
Alien Vs. Predator,80282231,Fox,3395,3401,38291056,8/13/04
Alien: Covenant,74262031,Fox,3761,3772,36160621,5/19/17
Alien: The Director's Cut,1986910,Fox,347,347,1023665,10/29/03
Aliens,85160248,Fox,1437,1454,10052042,7/18/86
Aliens in the Attic,25200412,Fox,3106,3108,8008423,7/31/09
Aliens of the Deep (IMAX),8968684,BV,27,27,479368,1/28/05
Aliens Vs. Predator - Requiem,41797066,Fox,2611,2617,10059425,12/25/07
Alila,50961,Kino,1,4,3063,2/27/04
Alita: Battle Angel,0,Fox,0,0,0,2/14/19
Alive,36733909,BV,1132,1337,8624292,1/15/93
